,Event,Date and Time,Duration (in minutes),Venue,Address,Lowest Price,Highest Price,Booking Status,URL
196,Berlin Underground @ Civic Hotel,2024-08-04 22:00:00,,Berlin Underground,"388 Pitt Street Sydney, NSW 2000",0.0,22.0,,https://www.eventbrite.com.au/e/berlin-underground-civic-hotel-tickets-368815496077?aff=ebdssbdestsearch
197,Tony Nyadundo Live in Sydney,2024-08-06 18:00:00,330.0,Rosehill Bowling Club,"Rosehill, NSW 2142",95.0,95.0,,https://www.eventbrite.com/e/tony-nyadundo-live-in-sydney-tickets-920847619017?aff=ebdssbdestsearch
198,The Beatnix,2024-08-10 20:00:00,150.0,Club Kirrawee,"101 Oak Road Kirrawee, NSW 2232",27.78,27.78,Going fast,https://www.eventbrite.com.au/e/the-beatnix-tickets-899541692417?aff=ebdssbdestsearch
199,VOGUE Masquerade Party DJ Sam Boutros,2024-08-10 20:00:00,300.0,Gardens on Forest,"764 Forest Road Peakhurst, NSW 2210",27.78,27.78,,https://www.eventbrite.com.au/e/vogue-masquerade-party-dj-sam-boutros-tickets-913716710277?aff=ebdssbdestsearch
200,Simo's Presents - Viscera Infest (JAP),2024-08-16 19:30:00,270.0,Simo's,"Warf 3 3 The Promenade Sydney, NSW 2000",43.73,43.73,,https://www.eventbrite.com/e/simos-presents-viscera-infest-jap-tickets-846794474067?aff=ebdssbdestsearch
201,BEATS BINGO - Emo [MACQUARIE] at TGI Fridays,2024-08-22 18:30:00,120.0,TGI Fridays Macquarie,"454 Herring Road North Ryde, NSW 2113",0.0,0.0,,https://www.eventbrite.com.au/e/beats-bingo-emo-macquarie-at-tgi-fridays-tickets-911049713217?aff=ebdssbdestsearch
202,Ben Lee with Special Guests,2024-08-22 18:30:00,210.0,"Warners Bay Theatre, baramayiba","39 Lake Street Warners Bay, NSW 2282",48.6,53.87,,https://www.eventbrite.com.au/e/ben-lee-with-special-guests-tickets-912403652887?aff=ebdssbdestsearch
203,ROSS WILSON & The Paceniks,2024-08-23 19:00:00,,Brighton Lakes Recreation & Golf Club,"43 Brickmakers Drive Moorebank, NSW 2170",126.46,126.46,,https://www.eventbrite.com.au/e/ross-wilson-the-paceniks-tickets-918611330217?aff=ebdssbdestsearch
204,"[SYD] ILLUMINATILO ft. DJ TILO, HYE NA, RAPPER ASHI & more | FRI 23 AUG",2024-08-23 19:30:00,,Việt Phố Entertainment,"2 George Street Yagoona, NSW 2199",74.37,195.43,,https://www.eventbrite.com.au/e/syd-illuminatilo-ft-dj-tilo-hye-na-rapper-ashi-more-fri-23-aug-tickets-906167018947?aff=ebdssbdestsearch
205,Swiftie Mirrorball Party: Night 1 Sydney,2024-08-23 23:00:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,31.89,,https://www.eventbrite.com.au/e/swiftie-mirrorball-party-night-1-sydney-tickets-919910756837?aff=ebdssbdestsearch
206,"Bloom Sings: The Stevie Nicks, Linda Ronstadt & Carole King Songbook",2024-08-29 19:30:00,150.0,Cardea Sydney,"300 Barangaroo Avenue #Shop 2, T3.01 Barangaroo, NSW 2000",48.96,133.67,,https://www.eventbrite.com.au/e/bloom-sings-the-stevie-nicks-linda-ronstadt-carole-king-songbook-tickets-847748186647?aff=ebdssbdestsearch
207,Glass Island - LOVE CLVB ft. POOLCLVB + FRIENDS - Sat 31 Aug 2024,2024-08-31 13:00:00,,Glass Island - check event info for Wharf Details,"King Street Wharf Darling Harbour Sydney, NSW 2000",39.2,39.2,,https://www.eventbrite.com.au/e/glass-island-love-clvb-ft-poolclvb-friends-sat-31-aug-2024-tickets-905818556687?aff=ebdssbdestsearch
208,SYD Campus | Open Day | Sept 7,2024-09-07 10:00:00,240.0,The Australian Institute of Music,"27 Nurses Walk The Rocks Sydney, NSW 2000",0.0,0.0,,https://www.eventbrite.com.au/e/syd-campus-open-day-sept-7-tickets-901044577587?aff=ebdssbdestsearch
209,The Annual Campion Ball: The Golden Age of Hollywood,2024-09-14 19:00:00,240.0,8-14 Austin Woodbury Pl,"ace Toongabbie, NSW 2146",70.0,85.0,,https://www.eventbrite.com/e/the-annual-campion-ball-the-golden-age-of-hollywood-tickets-889921588427?aff=ebdssbdestsearch
210,BEATS BINGO - Girl Bands VS Boy Bands [MACQUARIE] at TGI Fridays,2024-09-19 18:30:00,120.0,TGI Fridays Macquarie,"454 Herring Road North Ryde, NSW 2113",0.0,0.0,,https://www.eventbrite.com.au/e/beats-bingo-girl-bands-vs-boy-bands-macquarie-at-tgi-fridays-tickets-911053785397?aff=ebdssbdestsearch
211,Charlie Chech Live at Cardea!,2024-09-20 19:30:00,120.0,Cardea Sydney,"300 Barangaroo Avenue #Shop 2, T3.01 Barangaroo, NSW 2000",43.66,101.9,,https://www.eventbrite.com.au/e/charlie-chech-live-at-cardea-tickets-910187604627?aff=ebdssbdestsearch
212,Whispering Jack,2024-09-21 20:00:00,150.0,Club Kirrawee,"101 Oak Road Kirrawee, NSW 2232",27.78,27.78,,https://www.eventbrite.com.au/e/whispering-jack-tickets-899575613877?aff=ebdssbdestsearch
213,Glass Island -  LOVE CLVB ft. POOLCLVB + FRIENDS - Sat 05 Oct 2024,2024-10-05 13:00:00,,Glass Island - check event info for Wharf Details,"King Street Wharf Darling Harbour Sydney, NSW 2000",49.4,49.4,,https://www.eventbrite.com.au/e/glass-island-love-clvb-ft-poolclvb-friends-sat-05-oct-2024-tickets-905820251757?aff=ebdssbdestsearch
214,The Island: Island Opening Party,2024-10-05 15:00:00,300.0,Double Bay Wharf,"77 Bay Street Double Bay, NSW 2028",55.3,3967.75,,https://www.eventbrite.com.au/e/the-island-island-opening-party-tickets-909173220577?aff=ebdssbdestsearch
215,The Island: Sunday Fruits,2024-10-06 15:00:00,300.0,Double Bay Wharf,"77 Bay Street Double Bay, NSW 2028",44.86,3967.75,,https://www.eventbrite.com.au/e/the-island-sunday-fruits-tickets-908708590857?aff=ebdssbdestsearch
216,Live Music Lake Mac presents Darlinghurst supported by Piper Butcher,2024-10-11 18:30:00,210.0,"Warners Bay Theatre, baramayiba","39 Lake Street Warners Bay, NSW 2282",48.6,53.87,,https://www.eventbrite.com.au/e/live-music-lake-mac-presents-darlinghurst-supported-by-piper-butcher-tickets-754260171477?aff=ebdssbdestsearch
217,The Island: Saturday Sunset,2024-10-12 15:00:00,300.0,Double Bay Wharf,"77 Bay Street Double Bay, NSW 2028",55.3,3967.75,,https://www.eventbrite.com.au/e/the-island-saturday-sunset-tickets-909177383027?aff=ebdssbdestsearch
218,Throw Back x Social Women's  Club - Day Boat Party,2024-10-12 15:30:00,240.0,King Street Wharf,"35 The Promenade Sydney, NSW 2000",32.75,32.75,,https://www.eventbrite.com.au/e/throw-back-x-social-womens-club-day-boat-party-tickets-894134058037?aff=ebdssbdestsearch
219,The Island: Sunday Social,2024-10-13 15:00:00,300.0,Double Bay Wharf,"77 Bay Street Double Bay, NSW 2028",44.86,3967.75,,https://www.eventbrite.com.au/e/the-island-sunday-social-tickets-908709012117?aff=ebdssbdestsearch
220,FABBA Superyacht Party,2024-10-19 19:00:00,,Queens Wharf Terminal,"242-258 Wharf Road Newcastle, NSW 2300",43.66,59.54,,https://www.eventbrite.com/e/fabba-superyacht-party-tickets-883123655627?aff=ebdssbdestsearch
221,The Island : Island All Stars,2024-10-20 15:00:00,300.0,Double Bay Wharf,"77 Bay Street Double Bay, NSW 2028",44.86,3967.75,,https://www.eventbrite.com.au/e/the-island-island-all-stars-tickets-909148165637?aff=ebdssbdestsearch
222,Fleetwood Nicks Sydney Harbour Cruise,2024-10-26 18:00:00,240.0,King Street Wharf Darling Harbour,"Lime Street Sydney, NSW 2000",90.0,90.0,,https://www.eventbrite.com.au/e/fleetwood-nicks-sydney-harbour-cruise-tickets-888140641567?aff=ebdssbdestsearch
223,A24 Halloween Sydney,2024-10-26 23:30:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,31.89,,https://www.eventbrite.com.au/e/a24-halloween-sydney-tickets-851899122207?aff=ebdssbdestsearch
224,Emo Carnival 2024 - Emo Night Sydney,2024-11-09 20:00:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,31.89,,https://www.eventbrite.com.au/e/emo-carnival-2024-emo-night-sydney-tickets-921172229937?aff=ebdssbdestsearch
225,"Neurologic Music Therapy Training Inst -  Nov 11-14 in Sydney, Australia",2024-11-11 08:00:00,300.0,Rydges Sydney Central,"28 Albion Street Surry Hills, NSW 2010",295.29,764.8,,https://www.eventbrite.ca/e/neurologic-music-therapy-training-inst-nov-11-14-in-sydney-australia-tickets-856508368587?aff=ebdssbdestsearch
226,Celebrating 70 years of John Williams Music - Warners Bay Theatre,2024-11-24 15:00:00,,"Warners Bay Theatre, baramayiba","39 Lake Street Warners Bay, NSW 2282",32.8,48.6,,https://www.eventbrite.com.au/e/celebrating-70-years-of-john-williams-music-warners-bay-theatre-tickets-906627967657?aff=ebdssbdestsearch
227,Wicked Ball - Sydney,2024-11-30 21:00:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,31.89,,https://www.eventbrite.com.au/e/wicked-ball-sydney-tickets-841144775667?aff=ebdssbdestsearch
228,Jazz Behind the Green Door Christmas Event,2024-12-11 18:00:00,90.0,St Stephens Uniting Church,"197 Macquarie Street Sydney, NSW 2000",17.19,17.19,,https://www.eventbrite.com.au/e/jazz-behind-the-green-door-christmas-event-tickets-808786120057?aff=ebdssbdestsearch
229,The Island - Christmas Eve,2024-12-24 15:00:00,300.0,Double Bay Wharf,"77 Bay Street Double Bay, NSW 2028",55.3,3967.75,,https://www.eventbrite.com.au/e/the-island-christmas-eve-tickets-909191144187?aff=ebdssbdestsearch
230,SOUNDS ON  BOXING DAY,2024-12-26 13:00:00,,Greenwood Hotel,"36 Blue St North Sydney, NSW 2060",69.55,176.65,,https://www.eventbrite.com.au/e/sounds-on-boxing-day-tickets-919270983257?aff=ebdssbdestsearch
